sulfur,genotype,cpd,batch,value
S150,bglu28bglu30,G12,4,15.78799257
S150,bglu28bglu30,G12,5,18.44121991
S15,wt,G12,1,0.041899032
S15,wt,G12,2,0.036621102
S15,wt,G12,3,0.057291718
S15,wt,G12,4,0.034197584
S15,wt,G12,5,0.045660791
S15,bglu28bglu30,G12,1,2.072504364
S15,bglu28bglu30,G12,2,4.457539938
S15,bglu28bglu30,G12,3,2.46417061
S15,bglu28bglu30,G12,4,5.084967866
S15,bglu28bglu30,G12,5,4.185069392
S0,wt,G12,1,0.025973409
S0,wt,G12,2,0.001099788
S0,wt,G12,3,0.025569927
S0,wt,G12,4,0.03463685
S0,wt,G12,5,0.033015998
S0,bglu28bglu30,G12,1,1.852798088
S0,bglu28bglu30,G12,2,2.446063804
S0,bglu28bglu30,G12,3,5.429684087
S0,bglu28bglu30,G12,4,2.427428981
S0,bglu28bglu30,G12,5,2.622635312
S1500,wt,G13,1,0.074448323
S1500,wt,G13,2,0.071871818
S1500,wt,G13,3,0.059699788
S1500,wt,G13,4,0.08959354
S1500,wt,G13,5,0.089428221
S1500,bglu28bglu30,G13,1,0.174392411
S1500,bglu28bglu30,G13,2,0.142367161
S1500,bglu28bglu30,G13,3,0.129796328
S1500,bglu28bglu30,G13,4,0.088439661
S1500,bglu28bglu30,G13,5,0.093208738
S150,wt,G13,1,0.064682149
S150,wt,G13,2,0.011390081
S150,wt,G13,3,0.009095722
S150,wt,G13,4,0.021674547
S150,wt,G13,5,0.018031535
S150,bglu28bglu30,G13,1,0.273455303
S150,bglu28bglu30,G13,2,0.199759043
S150,bglu28bglu30,G13,3,0.083782253
S150,bglu28bglu30,G13,4,0.149258041
S150,bglu28bglu30,G13,5,0.129513658
S15,wt,G13,1,0.000257207
S15,wt,G13,2,0.000239937
S15,wt,G13,3,0.000253091
S15,wt,G13,4,0.002794812
S15,wt,G13,5,0.000244275
S15,bglu28bglu30,G13,1,0.379296215
S15,bglu28bglu30,G13,2,0.266832853
S15,bglu28bglu30,G13,3,0.326779825
S15,bglu28bglu30,G13,4,0.295693752
S15,bglu28bglu30,G13,5,0.357659937
S0,wt,G13,1,0.00378122
S0,wt,G13,2,0.000247756
S0,wt,G13,3,0.00278364
S0,wt,G13,4,0.002784961
S0,wt,G13,5,0.028122152
S0,bglu28bglu30,G13,1,0.463271334
S0,bglu28bglu30,G13,2,0.517943239
S0,bglu28bglu30,G13,3,0.556104419
S0,bglu28bglu30,G13,4,0.480410614
S0,bglu28bglu30,G13,5,0.624785024
S1500,wt,G14,1,0.46542915
S1500,wt,G14,2,0.387380275
S1500,wt,G14,3,0.3444573
S1500,wt,G14,4,0.458166795
S1500,wt,G14,5,0.458380984
S1500,bglu28bglu30,G14,1,0.406501265
S1500,bglu28bglu30,G14,2,0.371166025
S1500,bglu28bglu30,G14,3,0.340614865
S1500,bglu28bglu30,G14,4,0.294774336
S1500,bglu28bglu30,G14,5,0.312644504
S150,wt,G14,1,0.399175623
S150,wt,G14,2,0.072404175
S150,wt,G14,3,0.066963295
S150,wt,G14,4,0.140837749
S150,wt,G14,5,0.183025408
S150,bglu28bglu30,G14,1,0.656153817
S150,bglu28bglu30,G14,2,0.491139444
S150,bglu28bglu30,G14,3,0.423590304
S150,bglu28bglu30,G14,4,0.447040264
S150,bglu28bglu30,G14,5,0.550394283
S15,wt,G14,1,0.000257207
S15,wt,G14,2,0.000239937
S15,wt,G14,3,0.000253091
S15,wt,G14,4,0.000258884
S15,wt,G14,5,0.003449646
S15,bglu28bglu30,G14,1,0.686912087
S15,bglu28bglu30,G14,2,0.795391969
S15,bglu28bglu30,G14,3,0.49513259
S15,bglu28bglu30,G14,4,0.811231837
S15,bglu28bglu30,G14,5,0.696694211
S0,wt,G14,1,0.005558576
S0,wt,G14,2,0.000247756
S0,wt,G14,3,0.000256912
S0,wt,G14,4,0.000258917
S0,wt,G14,5,0.014308652
S0,bglu28bglu30,G14,1,0.800151754
S0,bglu28bglu30,G14,2,0.770925731
S0,bglu28bglu30,G14,3,0.805430122
S0,bglu28bglu30,G14,4,0.467361598
S0,bglu28bglu30,G14,5,0.889708467
S1500,wt,G15,1,1.141769364
S1500,wt,G15,2,1.335242225
S1500,wt,G15,3,1.353082506
S1500,wt,G15,4,1.597505842
S1500,wt,G15,5,1.597159362
S1500,bglu28bglu30,G15,1,1.795134107
S1500,bglu28bglu30,G15,2,2.25981739
S1500,bglu28bglu30,G15,3,1.803686764
S1500,bglu28bglu30,G15,4,1.689643911
S1500,bglu28bglu30,G15,5,2.05388336
S150,wt,G15,1,1.527469375
S150,wt,G15,2,0.755183987
S150,wt,G15,3,0.811500146
S150,wt,G15,4,0.931780545
S150,wt,G15,5,1.009012777
S150,bglu28bglu30,G15,1,2.242184247
S150,bglu28bglu30,G15,2,1.548349819
S150,bglu28bglu30,G15,3,1.502672901
S150,bglu28bglu30,G15,4,2.113032899
S150,bglu28bglu30,G15,5,1.797542507
S15,wt,G15,1,0.000257207
S15,wt,G15,2,0.000239937
S15,wt,G15,3,0.000253091
S15,wt,G15,4,0.000258884
S15,wt,G15,5,0.000244275
S15,bglu28bglu30,G15,1,1.154890415
S15,bglu28bglu30,G15,2,0.929730064
S15,bglu28bglu30,G15,3,1.164982743
S15,bglu28bglu30,G15,4,1.052422345
S15,bglu28bglu30,G15,5,1.89111601
S0,wt,G15,1,0.020968524
S0,wt,G15,2,0.000247756
S0,wt,G15,3,0.000256912
S0,wt,G15,4,0.000258917
S0,wt,G15,5,0.06337667
S0,bglu28bglu30,G15,1,1.322603652
S0,bglu28bglu30,G15,2,1.070604213
S0,bglu28bglu30,G15,3,1.417139861
S0,bglu28bglu30,G15,4,1.119213968
S0,bglu28bglu30,G15,5,1.066738642
S1500,wt,G16,1,2.261629439
S1500,wt,G16,2,1.986648312
S1500,wt,G16,3,2.011918867
S1500,wt,G16,4,2.229677059
S1500,wt,G16,5,2.450699354
S1500,bglu28bglu30,G16,1,1.697176241
S1500,bglu28bglu30,G16,2,1.806058375
S1500,bglu28bglu30,G16,3,1.563320057
S1500,bglu28bglu30,G16,4,1.479603926
S1500,bglu28bglu30,G16,5,1.595882906
S150,wt,G16,1,2.126760787
S150,wt,G16,2,0.880916446
S150,wt,G16,3,0.864301476
S150,wt,G16,4,1.115740528
S150,wt,G16,5,1.068694828
S150,bglu28bglu30,G16,1,0.950355804
S150,bglu28bglu30,G16,2,0.950584219
S150,bglu28bglu30,G16,3,0.917445842
S150,bglu28bglu30,G16,4,0.921772543
S150,bglu28bglu30,G16,5,0.867428496
S15,wt,G16,1,0.000257207
S15,wt,G16,2,0.000239937
S15,wt,G16,3,0.000253091
S15,wt,G16,4,0.000258884
S15,wt,G16,5,0.000244275
S15,bglu28bglu30,G16,1,0.328964065
S15,bglu28bglu30,G16,2,0.477133378
S15,bglu28bglu30,G16,3,0.18777664
S15,bglu28bglu30,G16,4,0.41139325
S15,bglu28bglu30,G16,5,0.527525216
S0,wt,G16,1,0.018245956
S0,wt,G16,2,0.000247756
