sulfur,genotype,cpd,batch,value,relative
S150,bglu28bglu30,G08,4,5.356772538,137.0926963
S150,bglu28bglu30,G08,5,5.311229835,135.927149
S15,wt,G08,1,0.000257207,0.006582548
S15,wt,G08,2,0.000239937,0.006140565
S15,wt,G08,3,0.000253091,0.006477209
S15,wt,G08,4,0.000258884,0.006625473
S15,wt,G08,5,0.000244275,0.006251575
S15,bglu28bglu30,G08,1,2.307790717,59.0619164
S15,bglu28bglu30,G08,2,4.611326324,118.0149343
S15,bglu28bglu30,G08,3,2.912805786,74.54570755
S15,bglu28bglu30,G08,4,3.228471447,82.62435122
S15,bglu28bglu30,G08,5,4.719839215,120.7920402
S0,wt,G08,1,0.005176757,0.132485672
S0,wt,G08,2,0.005664998,0.144980915
S0,wt,G08,3,0.002237369,0.057259645
S0,wt,G08,4,0.005128662,0.131254804
S0,wt,G08,5,0.031494948,0.806031497
S0,bglu28bglu30,G08,1,3.108456314,79.55287522
S0,bglu28bglu30,G08,2,3.502481319,89.63692304
S0,bglu28bglu30,G08,3,6.908696155,176.8101552
S0,bglu28bglu30,G08,4,3.743297574,95.79999035
S0,bglu28bglu30,G08,5,2.502993334,64.05762099
S1500,wt,G09,1,0.728258275,100.0424954
S1500,wt,G09,2,0.625912017,85.98295717
S1500,wt,G09,3,0.720299393,98.94916566
S1500,wt,G09,4,0.838692813,115.213139
S1500,wt,G09,5,0.726582154,99.81224282
S1500,bglu28bglu30,G09,1,0.807999198,110.9966872
S1500,bglu28bglu30,G09,2,1.197743729,164.5367798
S1500,bglu28bglu30,G09,3,0.872507606,119.858354
S1500,bglu28bglu30,G09,4,0.937729035,128.81797
S1500,bglu28bglu30,G09,5,0.79439708,109.1281334
S150,wt,G09,1,0.443747712,60.95863236
S150,wt,G09,2,0.113784155,15.63078814
S150,wt,G09,3,0.136824874,18.7959441
S150,wt,G09,4,0.264525914,36.33852642
S150,wt,G09,5,0.237881323,32.67829824
S150,bglu28bglu30,G09,1,0.729427104,100.20306
S150,bglu28bglu30,G09,2,0.617037218,84.7638058
S150,bglu28bglu30,G09,3,0.551903462,75.81623365
S150,bglu28bglu30,G09,4,0.662577929,91.01983682
S150,bglu28bglu30,G09,5,0.690184714,94.81224366
S15,wt,G09,1,0.000257207,0.03533312
S15,wt,G09,2,0.000239937,0.032960689
S15,wt,G09,3,0.000253091,0.034767695
S15,wt,G09,4,0.000258884,0.035563529
S15,wt,G09,5,0.000244275,0.033556561
S15,bglu28bglu30,G09,1,0.264816903,36.37850015
S15,bglu28bglu30,G09,2,0.630948201,86.6747892
S15,bglu28bglu30,G09,3,0.480940342,66.06786845
S15,bglu28bglu30,G09,4,0.5547504,76.20732405
S15,bglu28bglu30,G09,5,0.763081041,104.8261779
S0,wt,G09,1,0.000232937,0.031999087
S0,wt,G09,2,0.000247756,0.034034773
S0,wt,G09,3,0.000256912,0.035292571
S0,wt,G09,4,0.000258917,0.035567985
S0,wt,G09,5,0.000256702,0.035263752
S0,bglu28bglu30,G09,1,0.512902388,70.45856737
S0,bglu28bglu30,G09,2,0.645980498,88.73981009
S0,bglu28bglu30,G09,3,0.971204613,133.4165862
S0,bglu28bglu30,G09,4,0.820666482,112.7368209
S0,bglu28bglu30,G09,5,0.429181889,58.95769208
S1500,wt,G10,1,0.897178988,95.9964058
S1500,wt,G10,2,0.805525539,86.18966506
S1500,wt,G10,3,0.933585841,99.89186819
S1500,wt,G10,4,1.104531361,118.1827062
S1500,wt,G10,5,0.932160456,99.73935478
S1500,bglu28bglu30,G10,1,0.887178693,94.92639369
S1500,bglu28bglu30,G10,2,1.266153196,135.475928
S1500,bglu28bglu30,G10,3,1.126311549,120.5131439
S1500,bglu28bglu30,G10,4,1.282911266,137.2690089
S1500,bglu28bglu30,G10,5,1.005475707,107.5839439
S150,wt,G10,1,0.683033846,73.08329232
S150,wt,G10,2,0.340834153,36.46859108
S150,wt,G10,3,0.409895512,43.85802212
S150,wt,G10,4,0.446394095,47.76329946
S150,wt,G10,5,0.49474215,52.93644724
S150,bglu28bglu30,G10,1,0.574492178,61.46954499
S150,bglu28bglu30,G10,2,0.501305882,53.6387538
S150,bglu28bglu30,G10,3,0.658039535,70.40894966
S150,bglu28bglu30,G10,4,0.587306676,62.84067135
S150,bglu28bglu30,G10,5,0.680320913,72.7930137
S15,wt,G10,1,0.000257207,0.027520656
S15,wt,G10,2,0.000239937,0.02567279
S15,wt,G10,3,0.000253091,0.027080251
S15,wt,G10,4,0.000258884,0.027700119
S15,wt,G10,5,0.000244275,0.02613691
S15,bglu28bglu30,G10,1,0.11963751,12.80098075
S15,bglu28bglu30,G10,2,0.23804835,25.47071018
S15,bglu28bglu30,G10,3,0.157027084,16.80159243
S15,bglu28bglu30,G10,4,0.273307921,29.2434157
S15,bglu28bglu30,G10,5,0.22557861,24.13647232
S0,wt,G10,1,0.000232937,0.024923807
S0,wt,G10,2,0.000247756,0.026509385
S0,wt,G10,3,0.000256912,0.027489073
S0,wt,G10,4,0.000258917,0.027703591
S0,wt,G10,5,0.000256702,0.027466626
S0,bglu28bglu30,G10,1,0.166842964,17.85187243
S0,bglu28bglu30,G10,2,0.194450881,20.80586587
S0,bglu28bglu30,G10,3,0.374947706,40.11867487
S0,bglu28bglu30,G10,4,0.188713137,20.1919384
S0,bglu28bglu30,G10,5,0.172298771,18.43563321
S1500,wt,G11,1,4.415610701,91.11905316
S1500,wt,G11,2,4.12128094,85.04536348
S1500,wt,G11,3,5.370879148,110.8316507
S1500,wt,G11,4,5.681958688,117.2509831
S1500,wt,G11,5,4.640168375,95.75294958
S1500,bglu28bglu30,G11,1,4.814644231,99.3533745
S1500,bglu28bglu30,G11,2,6.610795682,136.4181501
S1500,bglu28bglu30,G11,3,5.876214676,121.2595842
S1500,bglu28bglu30,G11,4,6.557835432,135.3252802
S1500,bglu28bglu30,G11,5,5.100900191,105.260456
S150,wt,G11,1,3.277571769,67.63486559
S150,wt,G11,2,1.636566045,33.77162493
S150,wt,G11,3,1.969329544,40.63842028
S150,wt,G11,4,2.235025043,46.12122298
S150,wt,G11,5,2.622359892,54.11413428
S150,bglu28bglu30,G11,1,2.856255927,58.94073397
S150,bglu28bglu30,G11,2,2.263551303,46.70988126
S150,bglu28bglu30,G11,3,3.281009986,67.70581548
S150,bglu28bglu30,G11,4,3.149133323,64.98445314
S150,bglu28bglu30,G11,5,3.553297442,73.32464758
S15,wt,G11,1,0.000257207,0.005307638
S15,wt,G11,2,0.000239937,0.004951259
S15,wt,G11,3,0.000253091,0.005222702
S15,wt,G11,4,0.000258884,0.00534225
S15,wt,G11,5,0.000244275,0.005040769
S15,bglu28bglu30,G11,1,0.81490445,16.81609338
S15,bglu28bglu30,G11,2,1.499582866,30.94488625
S15,bglu28bglu30,G11,3,1.055799652,21.78712554
S15,bglu28bglu30,G11,4,1.851140261,38.19950609
S15,bglu28bglu30,G11,5,1.66826731,34.42580155
S0,wt,G11,1,0.000232937,0.00480681
S0,wt,G11,2,0.002215184,0.045711796
S0,wt,G11,3,0.000256912,0.005301547
S0,wt,G11,4,0.000258917,0.005342919
S0,wt,G11,5,0.000256702,0.005297218
S0,bglu28bglu30,G11,1,1.13981905,23.52092148
S0,bglu28bglu30,G11,2,1.209396157,24.95669119
S0,bglu28bglu30,G11,3,2.476879898,51.11205819
S0,bglu28bglu30,G11,4,1.157358603,23.88286179
S0,bglu28bglu30,G11,5,1.237319296,25.53290368
S1500,wt,G12,1,21.1838975,96.02534863
S1500,wt,G12,2,18.62901175,84.44420334
S1500,wt,G12,3,23.97449573,108.6749646
S1500,wt,G12,4,23.63324198,107.1280816
S1500,wt,G12,5,22.88302702,103.7274018
S1500,bglu28bglu30,G12,1,21.97436772,99.60850318
S1500,bglu28bglu30,G12,2,27.68529414,125.4957933
S1500,bglu28bglu30,G12,3,26.60565392,120.6018483
S1500,bglu28bglu30,G12,4,29.4779514,133.6218022
S1500,bglu28bglu30,G12,5,22.292483,101.0505008
S150,wt,G12,1,17.66117724,80.05706702
S150,wt,G12,2,11.59915622,52.57828593
S150,wt,G12,3,14.26323041,64.65437592
S150,wt,G12,4,14.41266577,65.33175755
S150,wt,G12,5,14.31726986,64.89933354
S150,bglu28bglu30,G12,1,13.92079143,63.10212039
S150,bglu28bglu30,G12,2,10.64778843,48.26579227
S150,bglu28bglu30,G12,3,17.50257417,79.33812874
S150,bglu28bglu30,G12,4,15.78799257,71.56603221
S150,bglu28bglu30,G12,5,18.44121991,83.5929541
S15,wt,G12,1,0.041899032,0.189925822
S15,wt,G12,2,0.036621102,0.166001279
S15,wt,G12,3,0.057291718,0.259699954
S15,wt,G12,4,0.034197584,0.155015617
S15,wt,G12,5,0.045660791,0.206977652
S15,bglu28bglu30,G12,1,2.072504364,9.394539135
S15,bglu28bglu30,G12,2,4.457539938,20.20576367
S15,bglu28bglu30,G12,3,2.46417061,11.16993895
S15,bglu28bglu30,G12,4,5.084967866,23.04985719
S15,bglu28bglu30,G12,5,4.185069392,18.97067088
S0,wt,G12,1,0.025973409,0.117735919
S0,wt,G12,2,0.001099788,0.004985273
S0,wt,G12,3,0.025569927,0.115906959
S0,wt,G12,4,0.03463685,0.157006782
S0,wt,G12,5,0.033015998,0.149659558
S0,bglu28bglu30,G12,1,1.852798088,8.39862364
S0,bglu28bglu30,G12,2,2.446063804,11.08786188
S0,bglu28bglu30,G12,3,5.429684087,24.61243534
S0,bglu28bglu30,G12,4,2.427428981,11.00339133
S0,bglu28bglu30,G12,5,2.622635312,11.88825003
S1500,wt,G13,1,0.074448323,96.67566508
S1500,wt,G13,2,0.071871818,93.3299169
S1500,wt,G13,3,0.059699788,77.52379773
S1500,wt,G13,4,0.08959354,116.3426481
S1500,wt,G13,5,0.089428221,116.1279722
S1500,bglu28bglu30,G13,1,0.174392411,226.4591286
S1500,bglu28bglu30,G13,2,0.142367161,184.8723982
S1500,bglu28bglu30,G13,3,0.129796328,168.5484083
S1500,bglu28bglu30,G13,4,0.088439661,114.8442664
S1500,bglu28bglu30,G13,5,0.093208738,121.0372025
S150,wt,G13,1,0.064682149,83.99369555
S150,wt,G13,2,0.011390081,14.79071185
S150,wt,G13,3,0.009095722,11.81134665
S150,wt,G13,4,0.021674547,28.14571481
