sulfur,genotype,pot,sample,batch,cpd,value
S30,bglu28bglu30,2,6,1,G09,0.176555279
S3,wt,1,1,1,G09,0.000395302
S3,wt,1,2,1,G09,0.000396822
S3,wt,1,3,1,G09,0.0004066
S3,wt,1,4,1,G09,0.000384561
S3,wt,1,5,1,G09,0.000431171
S3,wt,1,6,1,G09,0.000395969
S3,wt,2,1,1,G09,0.000406098
S3,wt,2,2,1,G09,0.000388384
S3,wt,2,3,1,G09,0.000443354
S3,wt,2,4,1,G09,0.000428783
S3,wt,2,5,1,G09,0.000458667
S3,wt,2,6,1,G09,0.000421431
S3,bglu28bglu30,1,1,1,G09,0.078585044
S3,bglu28bglu30,1,2,1,G09,0.09826719
S3,bglu28bglu30,1,3,1,G09,0.043775131
S3,bglu28bglu30,1,4,1,G09,0.070628308
S3,bglu28bglu30,1,5,1,G09,0.043837713
S3,bglu28bglu30,1,6,1,G09,0.163548732
S3,bglu28bglu30,2,1,1,G09,0.120608256
