time,genotype,treatment,cpd,batch,value
09h,pad2,4MSB,SFN-Cys,3,0.074974763
09h,pad2,4MSB,SFN-Cys,4,0.072619887
24h,pad2,4MSB,SFN-Cys,1,0.112638795
24h,pad2,4MSB,SFN-Cys,2,0.11539142
24h,pad2,4MSB,SFN-Cys,3,0.247733573
24h,pad2,4MSB,SFN-Cys,4,0.193422453
48h,pad2,4MSB,SFN-Cys,1,0.127317776
48h,pad2,4MSB,SFN-Cys,2,0.087528664
48h,pad2,4MSB,SFN-Cys,3,0.37769752
48h,pad2,4MSB,SFN-Cys,4,0.304871388
00h,wt,BSO_4MSB,SFN-Cys,1,0.004209271
00h,wt,BSO_4MSB,SFN-Cys,2,0.004569444
00h,wt,BSO_4MSB,SFN-Cys,3,0.003825682
00h,wt,BSO_4MSB,SFN-Cys,4,0.012911595
09h,wt,BSO_4MSB,SFN-Cys,1,0.054674553
09h,wt,BSO_4MSB,SFN-Cys,2,0.046340574
09h,wt,BSO_4MSB,SFN-Cys,3,0.073165317
09h,wt,BSO_4MSB,SFN-Cys,4,0.076877442
24h,wt,BSO_4MSB,SFN-Cys,1,0.204099346
24h,wt,BSO_4MSB,SFN-Cys,2,0.202272309
24h,wt,BSO_4MSB,SFN-Cys,3,0.169146301
24h,wt,BSO_4MSB,SFN-Cys,4,0.223154923
48h,wt,BSO_4MSB,SFN-Cys,1,0.534602382
48h,wt,BSO_4MSB,SFN-Cys,2,0.271918457
48h,wt,BSO_4MSB,SFN-Cys,3,0.347409765
48h,wt,BSO_4MSB,SFN-Cys,4,0.455738963
00h,wt,4MSB,SFN-GSH,1,0.009247453
00h,wt,4MSB,SFN-GSH,2,0.01095065
00h,wt,4MSB,SFN-GSH,3,0.004600863
00h,wt,4MSB,SFN-GSH,4,0.006556337
09h,wt,4MSB,SFN-GSH,1,1.665406025
09h,wt,4MSB,SFN-GSH,2,0.633229586
09h,wt,4MSB,SFN-GSH,3,1.47060597
09h,wt,4MSB,SFN-GSH,4,0.667934251
24h,wt,4MSB,SFN-GSH,1,2.463564379
24h,wt,4MSB,SFN-GSH,2,1.647720312
24h,wt,4MSB,SFN-GSH,3,1.39086896
24h,wt,4MSB,SFN-GSH,4,1.147669406
48h,wt,4MSB,SFN-GSH,1,0.996584715
48h,wt,4MSB,SFN-GSH,2,0.438954896
48h,wt,4MSB,SFN-GSH,3,0.129399884
48h,wt,4MSB,SFN-GSH,4,0.653977836
00h,pad2,4MSB,SFN-GSH,1,0.014210394
00h,pad2,4MSB,SFN-GSH,2,0.02173959
00h,pad2,4MSB,SFN-GSH,3,0.010167168
00h,pad2,4MSB,SFN-GSH,4,0.007354111
09h,pad2,4MSB,SFN-GSH,1,0.447921228
09h,pad2,4MSB,SFN-GSH,2,0.232007734
09h,pad2,4MSB,SFN-GSH,3,0.526955664
09h,pad2,4MSB,SFN-GSH,4,0.318772159
24h,pad2,4MSB,SFN-GSH,1,0.927511668
24h,pad2,4MSB,SFN-GSH,2,0.787652453
24h,pad2,4MSB,SFN-GSH,3,0.625104196
24h,pad2,4MSB,SFN-GSH,4,0.577079293
48h,pad2,4MSB,SFN-GSH,1,0.792611317
48h,pad2,4MSB,SFN-GSH,2,0.978275258
48h,pad2,4MSB,SFN-GSH,3,0.761638031
48h,pad2,4MSB,SFN-GSH,4,0.653752049
00h,wt,BSO_4MSB,SFN-GSH,1,0.031997755
00h,wt,BSO_4MSB,SFN-GSH,2,0.017822193
00h,wt,BSO_4MSB,SFN-GSH,3,0.010088237
00h,wt,BSO_4MSB,SFN-GSH,4,0.008677542
09h,wt,BSO_4MSB,SFN-GSH,1,0.344522984
09h,wt,BSO_4MSB,SFN-GSH,2,0.437204019
09h,wt,BSO_4MSB,SFN-GSH,3,0.293553184
09h,wt,BSO_4MSB,SFN-GSH,4,0.214230531
24h,wt,BSO_4MSB,SFN-GSH,1,1.092828381
24h,wt,BSO_4MSB,SFN-GSH,2,1.376664284
24h,wt,BSO_4MSB,SFN-GSH,3,0.620570983
24h,wt,BSO_4MSB,SFN-GSH,4,0.631243594
48h,wt,BSO_4MSB,SFN-GSH,1,1.511144407
