sulfur,genotype,cpd,isotope,batch,value,relative
S1500,wt,SFN-rEC,4_2,4,0.000112485,0.011516608
S150,wt,SFN-rEC,0_0,1,0.000121121,0.012400838
S150,wt,SFN-rEC,0_0,2,0.000115664,0.011842164
S150,wt,SFN-rEC,0_0,3,0.000124296,0.012725914
S150,wt,SFN-rEC,0_0,4,0.0001124,0.011507935
S150,wt,SFN-rEC,2_0,1,0.000121121,0.012400838
S150,wt,SFN-rEC,2_0,2,0.000115664,0.011842164
S150,wt,SFN-rEC,2_0,3,0.000124296,0.012725914
S150,wt,SFN-rEC,2_0,4,0.0001124,0.011507935
S150,wt,SFN-rEC,2_2,1,0.000121121,0.012400838
S150,wt,SFN-rEC,2_2,2,0.000115664,0.011842164
S150,wt,SFN-rEC,2_2,3,0.000124296,0.012725914
S150,wt,SFN-rEC,2_2,4,0.0001124,0.011507935
S150,wt,SFN-rEC,4_2,1,0.002119619,0.217014662
S150,wt,SFN-rEC,4_2,2,0.004418381,0.452370665
S150,wt,SFN-rEC,4_2,3,0.003443004,0.352507823
S150,wt,SFN-rEC,4_2,4,0.003518119,0.36019837
4MSB-34S,wt,SFN-rEC,0_0,1,0.027287534,2.79380132
4MSB-34S,wt,SFN-rEC,0_0,2,0.022200384,2.272959631
4MSB-34S,wt,SFN-rEC,0_0,3,0.017348144,1.776168868
4MSB-34S,wt,SFN-rEC,0_0,4,0.010082379,1.032272219
4MSB-34S,wt,SFN-rEC,2_0,1,0.543280912,55.62316279
4MSB-34S,wt,SFN-rEC,2_0,2,0.511442653,52.3634409
4MSB-34S,wt,SFN-rEC,2_0,3,0.403231002,41.28432122
4MSB-34S,wt,SFN-rEC,2_0,4,0.341275345,34.94106571
4MSB-34S,wt,SFN-rEC,2_2,1,0.00416522,0.426451082
4MSB-34S,wt,SFN-rEC,2_2,2,0.002069654,0.211898986
4MSB-34S,wt,SFN-rEC,2_2,3,0.005369095,0.549708384
4MSB-34S,wt,SFN-rEC,2_2,4,0.003841567,0.393314174
4MSB-34S,wt,SFN-rEC,4_2,1,0.226283609,23.16777514
4MSB-34S,wt,SFN-rEC,4_2,2,0.153660607,15.7323564
4MSB-34S,wt,SFN-rEC,4_2,3,0.156300335,16.00262185
4MSB-34S,wt,SFN-rEC,4_2,4,0.126979724,13.00066636
4MSB,wt,SFN-rEC,0_0,1,0.892892142,91.41768808
4MSB,wt,SFN-rEC,0_0,2,0.914026302,93.58148361
4MSB,wt,SFN-rEC,0_0,3,0.347586222,35.58719725
4MSB,wt,SFN-rEC,0_0,4,1.280061178,131.0575242
4MSB,wt,SFN-rEC,2_0,1,0.06051326,6.195577372
4MSB,wt,SFN-rEC,2_0,2,0.066203744,6.778190725
4MSB,wt,SFN-rEC,2_0,3,0.020225124,2.070724958
4MSB,wt,SFN-rEC,2_0,4,0.101672695,10.40963665
4MSB,wt,SFN-rEC,2_2,1,0.060865438,6.231634629
4MSB,wt,SFN-rEC,2_2,2,0.044435563,4.549481721
4MSB,wt,SFN-rEC,2_2,3,0.023613626,2.4176527
4MSB,wt,SFN-rEC,2_2,4,0.071969605,7.368521452
4MSB,wt,SFN-rEC,4_2,1,0.001087156,0.111307185
4MSB,wt,SFN-rEC,4_2,2,0.009516554,0.974340942
4MSB,wt,SFN-rEC,4_2,3,0.00489215,0.500876927
4MSB,wt,SFN-rEC,4_2,4,0.007307422,0.748161564
